species,authority,url
Achalinus yangdatongi,"HOU, WANG, GUO, CHEN, YUAN & CHE, 2021",https://reptile-database.reptarium.cz/Achalinus/yangdatongi?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus yunkaiensis,"WANG, LI & WANG, 2019",https://reptile-database.reptarium.cz/Achalinus/yunkaiensis?search_param=%28%28taxon%3D%27snake%27%29%29
Achalinus zugorum,"MILLER, DAVIS, LUONG, DO, PHAM, ZIEGLER, LEE, DE QUEIROZ, REYNOLDS & NGUYEN, 2020",https://reptile-database.reptarium.cz/Achalinus/zugorum?search_param=%28%28taxon%3D%27snake%27%29%29
Acrantophis dumerili,"JAN, 1860",https://reptile-database.reptarium.cz/Acrantophis/dumerili?search_param=%28%28taxon%3D%27snake%27%29%29
Acrantophis madagascariensis,"(DUMÉRIL & BIBRON, 1844)",https://reptile-database.reptarium.cz/Acrantophis/madagascariensis?search_param=%28%28taxon%3D%27snake%27%29%29
Acrochordus arafurae,"MCDOWELL, 1979",https://reptile-database.reptarium.cz/Acrochordus/arafurae?search_param=%28%28taxon%3D%27snake%27%29%29
Acrochordus granulatus,"(SCHNEIDER, 1799)",https://reptile-database.reptarium.cz/Acrochordus/granulatus?search_param=%28%28taxon%3D%27snake%27%29%29
Acrochordus javanicus,"HORNSTEDT, 1787",https://reptile-database.reptarium.cz/Acrochordus/javanicus?search_param=%28%28taxon%3D%27snake%27%29%29
Acutotyphlops banaorum,"WALLACH, BROWN, DIESMOS & GEE, 2007",https://reptile-database.reptarium.cz/Acutotyphlops/banaorum?search_param=%28%28taxon%3D%27snake%27%29%29
Acutotyphlops infralabialis,"(WAITE, 1918)",https://reptile-database.reptarium.cz/Acutotyphlops/infralabialis?search_param=%28%28taxon%3D%27snake%27%29%29
Acutotyphlops kunuaensis,"WALLACH, 1995",https://reptile-database.reptarium.cz/Acutotyphlops/kunuaensis?search_param=%28%28taxon%3D%27snake%27%29%29
Acutotyphlops solomonis,"(PARKER, 1939)",https://reptile-database.reptarium.cz/Acutotyphlops/solomonis?search_param=%28%28taxon%3D%27snake%27%29%29
Acutotyphlops subocularis,"(WAITE, 1897)",https://reptile-database.reptarium.cz/Acutotyphlops/subocularis?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphicos daryi,"CAMPBELL & FORD, 1982",https://reptile-database.reptarium.cz/Adelphicos/daryi?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphicos ibarrorum,"CAMPBELL & BRODIE, 1988",https://reptile-database.reptarium.cz/Adelphicos/ibarrorum?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphicos latifasciatum,"LYNCH & SMITH, 1966",https://reptile-database.reptarium.cz/Adelphicos/latifasciatum?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphicos newmanorum,"TAYLOR, 1950",https://reptile-database.reptarium.cz/Adelphicos/newmanorum?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphicos nigrilatum,"SMITH, 1942",https://reptile-database.reptarium.cz/Adelphicos/nigrilatum?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphicos quadrivirgatum,"JAN, 1862",https://reptile-database.reptarium.cz/Adelphicos/quadrivirgatum?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphicos sargii,"(FISCHER, 1885)",https://reptile-database.reptarium.cz/Adelphicos/sargii?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphicos veraepacis,"STUART, 1941",https://reptile-database.reptarium.cz/Adelphicos/veraepacis?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphicos visoninum,"(COPE, 1866)",https://reptile-database.reptarium.cz/Adelphicos/visoninum?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphostigma occipitalis,"(JAN, 1863)",https://reptile-database.reptarium.cz/Adelphostigma/occipitalis?search_param=%28%28taxon%3D%27snake%27%29%29
Adelphostigma quadriocellata,"(SANTOS, DI-BERNARDO & DE LEMA, 2008)",https://reptile-database.reptarium.cz/Adelphostigma/quadriocellata?search_param=%28%28taxon%3D%27snake%27%29%29
Aeluroglena cucullata,"BOULENGER, 1898",https://reptile-database.reptarium.cz/Aeluroglena/cucullata?search_param=%28%28taxon%3D%27snake%27%29%29
Afronatrix anoscopus,"(COPE, 1861)",https://reptile-database.reptarium.cz/Afronatrix/anoscopus?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops angolensis,"(BOCAGE, 1866)",https://reptile-database.reptarium.cz/Afrotyphlops/angolensis?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops anomalus,"(BOCAGE, 1873)",https://reptile-database.reptarium.cz/Afrotyphlops/anomalus?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops bibronii,"(SMITH, 1846)",https://reptile-database.reptarium.cz/Afrotyphlops/bibronii?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops blanfordii,"(BOULENGER, 1889)",https://reptile-database.reptarium.cz/Afrotyphlops/blanfordii?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops brevis,"(SCORTECCI, 1929)",https://reptile-database.reptarium.cz/Afrotyphlops/brevis?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops calabresii,"(GANS & LAURENT, 1965)",https://reptile-database.reptarium.cz/Afrotyphlops/calabresii?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops chirioi,"TRAPE, 2019",https://reptile-database.reptarium.cz/Afrotyphlops/chirioi?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops congestus,"(DUMÉRIL & BIBRON, 1844)",https://reptile-database.reptarium.cz/Afrotyphlops/congestus?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops cuneirostris,"(PETERS, 1879)",https://reptile-database.reptarium.cz/Afrotyphlops/cuneirostris?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops dinga,"(PETERS, 1854)",https://reptile-database.reptarium.cz/Afrotyphlops/dinga?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops elegans,"(PETERS, 1868)",https://reptile-database.reptarium.cz/Afrotyphlops/elegans?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops fornasinii,"(BIANCONI, 1849)",https://reptile-database.reptarium.cz/Afrotyphlops/fornasinii?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops gierrai,"(MOCQUARD, 1897)",https://reptile-database.reptarium.cz/Afrotyphlops/gierrai?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops kaimosae,"(LOVERIDGE, 1935)",https://reptile-database.reptarium.cz/Afrotyphlops/kaimosae?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops liberiensis,"(HALLOWELL, 1848)",https://reptile-database.reptarium.cz/Afrotyphlops/liberiensis?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops lineolatus,"(JAN, 1864)",https://reptile-database.reptarium.cz/Afrotyphlops/lineolatus?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops nanus,"BROADLEY & WALLACH, 2009",https://reptile-database.reptarium.cz/Afrotyphlops/nanus?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops nigrocandidus,"(BROADLEY & WALLACH, 2000)",https://reptile-database.reptarium.cz/Afrotyphlops/nigrocandidus?search_param=%28%28taxon%3D%27snake%27%29%29
Afrotyphlops obtusus,"(PETERS, 1865)",https://reptile-database.reptarium.cz/Afrotyphlops/obtusus?search_param=%28%28taxon%3D%27snake%27%29%29
